iter	F1_TP	F1_TP+FP	F1_TP+FN	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight
0	0	0	424	0	0	0	424
1	0	0	424	0	0	0	424
2	0	0	424	0	0	0	424
3	0	0	424	0	0	0	424
4	0	0	424	0	0	0	424
5	0	0	424	0	0	0	424
6	0	0	424	0	0	0	424
7	0	0	424	0	0	0	424
8	0	0	424	0	0	0	424
9	0	0	424	0	0	0	424
10	0	0	424	0	0	0	424
11	0	0	424	0	0	0	424
12	0	0	424	0	0	0	424
13	0	0	424	0	0	0	424
14	0	0	424	0	0	0	424
15	0	0	424	0	0	0	424
16	2	2	424	2	2	2	424
17	2	2	424	2	2	2	424
18	2	3	424	2	3	2	424
19	2	3	424	2	3	2	424
20	2	2	424	2	2	2	424
21	2	2	424	2	2	2	424
22	2	4	424	2	4	2	424
23	2	4	424	2	4	2	424
24	4	6	424	4	6	4	424
25	4	6	424	4	6	4	424
26	4	6	424	4	6	4	424
27	4	6	424	4	6	4	424
28	4	6	424	4	6	4	424
29	4	6	424	4	6	4	424
30	4	7	424	4	7	4	424
31	4	7	424	4	7	4	424
32	4	7	424	4	7	4	424
33	4	7	424	4	7	4	424
34	5	8	424	5	8	5	424
35	5	9	424	5	9	5	424
36	5	9	424	5	9	5	424
37	5	9	424	5	9	5	424
38	5	9	424	5	9	5	424
39	5	9	424	5	9	5	424
40	6	10	424	6	10	6	424
41	7	11	424	7	11	7	424
42	7	10	424	7	10	7	424
43	7	10	424	7	10	7	424
44	9	12	424	9	12	9	424
45	9	12	424	9	12	9	424
46	10	14	424	10	14	10	424
47	11	15	424	11	15	11	424
48	9	13	424	9	13	9	424
49	9	14	424	9	14	9	424
50	9	14	424	9	14	9	424
51	9	15	424	9	15	9	424
52	9	16	424	9	16	9	424
